Season,Week,GameStatus,Day,Date,AwayTeam,AwayScore,AwayWin,HomeTeam,HomeScore,HomeWin,AwaySeeding,HomeSeeding,PostSeason,AwayWins,AwayLosses,HomeWins,HomeLosses,FullDate,HomeRestDays,AwayRestDays,H2H_HomeWinPct,HomeRollingScore,HomeRollingDefense,AwayRollingScore,AwayRollingDefense
2018,Wild Card,FINAL,SUN,01/06,Eagles,16.0,1.0,Bears,15.0,0.0,6.0,3.0,1,9,7,12,4,2018-01-06 00:00:00,6.0,6.0,0.5,17.4,13.6,21.2,20.8
2018,Wild Card,FINAL,SUN,01/06,Chargers,23.0,1.0,Ravens,17.0,0.0,5.0,4.0,1,12,4,10,6,2018-01-06 00:00:00,6.0,6.0,0.5,31.8,23.2,21.2,14.0
2023,Week 18,FINAL,SAT,01/06,Texans,23.0,1.0,Colts,19.0,0.0,0.0,0.0,0,10,7,9,8,2023-01-06 00:00:00,11.0,13.0,1.0,18.2,30.8,19.0,25.6
2023,Week 18,FINAL,SUN,01/07,Cowboys,38.0,1.0,Commanders,10.0,0.0,0.0,0.0,0,12,5,4,13,2023-01-07 00:00:00,14.0,9.0,1.0,18.8,20.0,36.4,25.8
2023,Week 18,FINAL,SUN,01/07,Seahawks,21.0,1.0,Cardinals,20.0,0.0,0.0,0.0,0,9,8,4,13,2023-01-07 00:00:00,13.0,14.0,0.5,15.6,26.6,21.6,27.6
2023,Week 18,FINAL,SUN,01/07,Bears,9.0,0.0,Packers,17.0,1.0,0.0,0.0,0,7,10,9,8,2023-01-07 00:00:00,13.0,14.0,0.5,25.6,23.6,17.2,29.2
2023,Week 18,FINAL,SUN,01/07,Chiefs,13.0,1.0,Chargers,12.0,0.0,0.0,0.0,0,11,6,5,12,2023-01-07 00:00:00,12.0,14.0,1.0,21.0,17.0,27.6,19.8
2023,Week 18,FINAL,SUN,01/07,Broncos,14.0,0.0,Raiders,27.0,1.0,0.0,0.0,0,8,9,8,9,2023-01-07 00:00:00,14.0,13.0,1.0,24.6,21.6,17.0,26.6
2023,Week 18,FINAL,SUN,01/07,Eagles,10.0,0.0,Giants,27.0,1.0,0.0,0.0,0,11,6,6,11,2023-01-07 00:00:00,14.0,14.0,0.0,21.2,27.0,36.4,25.0
2023,Week 18,FINAL,SUN,01/07,Rams,21.0,1.0,49ers,20.0,0.0,0.0,0.0,0,10,7,12,5,2023-01-07 00:00:00,14.0,13.0,0.5,27.8,11.4,22.6,21.4
2023,Week 18,FINAL,SUN,01/07,Buccaneers,9.0,1.0,Panthers,0.0,0.0,0.0,0.0,0,9,8,2,15,2023-01-07 00:00:00,14.0,13.0,0.0,21.8,18.8,16.6,24.8
2023,Week 18,FINAL,SUN,01/07,Bills,21.0,1.0,Dolphins,14.0,0.0,0.0,0.0,0,11,6,11,6,2023-01-07 00:00:00,13.0,14.0,0.0,22.6,25.8,27.8,17.8
2023,Week 18,FINAL,SUN,01/07,Falcons,17.0,0.0,Saints,48.0,1.0,0.0,0.0,0,7,10,9,8,2023-01-07 00:00:00,14.0,14.0,0.5,16.2,15.6,16.6,20.0
2023,Week 18,FINAL,SUN,01/07,Jets,17.0,1.0,Patriots,3.0,0.0,0.0,0.0,0,7,10,4,13,2023-01-07 00:00:00,14.0,16.0,1.0,21.0,24.4,17.0,19.2
2023,Week 18,FINAL,SUN,01/07,Browns,14.0,0.0,Bengals,31.0,1.0,0.0,0.0,0,11,6,9,8,2023-01-07 00:00:00,14.0,14.0,0.5,25.2,18.2,16.6,14.8
2023,Week 18,FINAL,SUN,01/07,Vikings,20.0,0.0,Lions,30.0,1.0,0.0,0.0,0,7,10,12,5,2023-01-07 00:00:00,14.0,14.0,0.5,28.4,23.8,29.8,28.4
2023,Week 18,FINAL,SUN,01/07,Jaguars,20.0,0.0,Titans,28.0,1.0,0.0,0.0,0,9,8,6,11,2023-01-07 00:00:00,9.0,16.0,0.5,14.6,26.8,27.4,25.2
2022,Week 18,FINAL,SAT,01/07,Chiefs,31.0,1.0,Raiders,13.0,0.0,0.0,0.0,0,14,3,6,11,2022-01-07 00:00:00,6.0,6.0,0.5,18.2,25.8,33.4,16.0
2017,Wild Card,FINAL,SUN,01/07,Bills,3.0,0.0,Jaguars,10.0,1.0,6.0,3.0,1,9,7,10,6,2017-01-07 00:00:00,7.0,7.0,0.5,0.0,0.0,0.0,0.0
2017,Wild Card,FINAL,SUN,01/07,Panthers,26.0,0.0,Saints,31.0,1.0,5.0,4.0,1,11,5,11,5,2017-01-07 00:00:00,7.0,7.0,1.0,0.0,0.0,0.0,0.0
2022,Week 18,FINAL,SAT,01/07,Titans,16.0,0.0,Jaguars,20.0,1.0,0.0,0.0,0,7,10,9,8,2022-01-07 00:00:00,6.0,15.0,0.0,15.0,23.2,15.8,18.8
2022,Week 18,FINAL,SUN,01/08,Cowboys,6.0,0.0,Commanders,26.0,1.0,0.0,0.0,0,12,5,8,8,2022-01-08 00:00:00,7.0,13.0,0.5,10.0,24.0,32.8,18.6
2022,Week 18,FINAL,SUN,01/08,Chargers,28.0,0.0,Broncos,31.0,1.0,0.0,0.0,0,10,7,5,12,2022-01-08 00:00:00,7.0,7.0,0.0,18.8,18.2,33.2,25.6
2022,Week 18,FINAL,SUN,01/08,Rams,16.0,0.0,Seahawks,19.0,1.0,0.0,0.0,0,5,12,9,8,2022-01-08 00:00:00,7.0,7.0,1.0,24.0,17.4,25.4,18.8
2021,Week 18,FINAL,SAT,01/08,Chiefs,28.0,1.0,Broncos,24.0,0.0,0.0,0.0,0,12,5,7,10,2021-01-08 00:00:00,6.0,6.0,0.5,19.2,30.0,27.0,24.0
2022,Week 18,FINAL,SUN,01/08,Panthers,10.0,1.0,Saints,7.0,0.0,0.0,0.0,0,7,10,7,10,2022-01-08 00:00:00,7.0,7.0,1.0,15.8,13.2,15.0,31.0
2022,Week 18,FINAL,SUN,01/08,Buccaneers,17.0,0.0,Falcons,30.0,1.0,0.0,0.0,0,8,9,7,10,2022-01-08 00:00:00,7.0,7.0,0.0,19.8,23.4,25.0,16.6
2021,Week 18,FINAL,SAT,01/08,Cowboys,51.0,1.0,Eagles,26.0,0.0,0.0,0.0,0,12,5,9,8,2021-01-08 00:00:00,6.0,6.0,0.5,20.6,27.4,29.4,23.2
2022,Week 18,FINAL,SUN,01/08,Ravens,16.0,0.0,Bengals,27.0,1.0,0.0,0.0,0,10,7,12,4,2022-01-08 00:00:00,13.0,7.0,0.0,28.4,21.6,21.0,26.4
2022,Week 18,FINAL,SUN,01/08,Texans,32.0,1.0,Colts,31.0,0.0,0.0,0.0,0,3,13,4,12,2022-01-08 00:00:00,7.0,7.0,0.5,24.2,21.8,17.4,28.0
2022,Week 18,FINAL,SUN,01/08,Jets,6.0,0.0,Dolphins,11.0,1.0,0.0,0.0,0,7,10,9,8,2022-01-08 00:00:00,7.0,7.0,0.0,25.0,13.8,16.6,27.6
2022,Week 18,FINAL,SUN,01/08,Lions,20.0,1.0,Packers,16.0,0.0,0.0,0.0,0,9,8,8,9,2022-01-08 00:00:00,7.0,7.0,0.5,35.4,25.4,25.2,21.4
2022,Week 18,FINAL,SUN,01/08,Browns,14.0,0.0,Steelers,28.0,1.0,0.0,0.0,0,7,10,9,8,2022-01-08 00:00:00,7.0,7.0,0.5,18.6,23.4,18.8,17.6
2022,Week 18,FINAL,SUN,01/08,Giants,16.0,0.0,Eagles,22.0,1.0,0.0,0.0,0,9,7,14,3,2022-01-08 00:00:00,7.0,7.0,0.5,22.2,15.6,16.8,24.4
2022,Week 18,FINAL,SUN,01/08,Patriots,23.0,0.0,Bills,35.0,1.0,0.0,0.0,0,8,9,13,3,2022-01-08 00:00:00,13.0,7.0,0.0,26.4,17.6,22.2,20.8
2022,Week 18,FINAL,SUN,01/08,Vikings,29.0,1.0,Bears,13.0,0.0,0.0,0.0,0,13,4,3,14,2022-01-08 00:00:00,7.0,7.0,0.5,19.2,32.0,24.0,27.4
2022,Week 18,FINAL,SUN,01/08,Cardinals,13.0,0.0,49ers,38.0,1.0,0.0,0.0,0,4,13,13,4,2022-01-08 00:00:00,7.0,7.0,0.0,26.8,24.0,20.6,24.8
2021,Week 18,FINAL,SUN,01/09,Football Team,22.0,1.0,Giants,7.0,0.0,0.0,0.0,0,7,10,4,13,2021-01-09 00:00:00,7.0,7.0,0.5,9.2,22.8,18.0,18.4
2021,Week 18,FINAL,SUN,01/09,Patriots,24.0,0.0,Dolphins,33.0,1.0,0.0,0.0,0,10,7,9,8,2021-01-09 00:00:00,7.0,7.0,0.0,19.4,22.2,23.8,18.8
2021,Week 18,FINAL,SUN,01/09,Bengals,16.0,0.0,Browns,21.0,1.0,0.0,0.0,0,10,7,8,9,2021-01-09 00:00:00,6.0,7.0,0.0,26.6,27.4,22.4,25.6
2021,Week 18,FINAL,SUN,01/09,Saints,30.0,1.0,Falcons,20.0,0.0,0.0,0.0,0,9,8,7,10,2021-01-09 00:00:00,7.0,7.0,0.0,17.8,23.6,28.2,23.0
2020,Wild Card,FINAL,SAT,01/09,Rams,30.0,1.0,Seahawks,20.0,0.0,6.0,3.0,1,10,6,12,4,2020-01-09 00:00:00,6.0,6.0,1.0,20.4,25.6,25.8,24.2
2020,Wild Card,FINAL,SAT,01/09,Buccaneers,31.0,1.0,Football Team,23.0,0.0,5.0,4.0,1,11,5,7,9,2020-01-09 00:00:00,6.0,6.0,0.5,20.0,14.0,32.4,26.0
2020,Wild Card,FINAL,SAT,01/09,Colts,24.0,0.0,Bills,27.0,1.0,7.0,2.0,1,11,5,13,3,2020-01-09 00:00:00,6.0,6.0,0.5,22.6,19.4,25.6,26.0
2021,Week 18,FINAL,SUN,01/09,Seahawks,38.0,1.0,Cardinals,30.0,0.0,0.0,0.0,0,7,10,11,6,2021-01-09 00:00:00,7.0,7.0,0.0,24.8,22.6,28.6,14.6
2021,Week 18,FINAL,SUN,01/09,Panthers,17.0,0.0,Buccaneers,41.0,1.0,0.0,0.0,0,5,12,13,4,2021-01-09 00:00:00,7.0,7.0,1.0,31.2,19.8,20.0,23.0
2021,Week 18,FINAL,SUN,01/09,49ers,27.0,1.0,Rams,24.0,0.0,0.0,0.0,0,10,7,12,5,2021-01-09 00:00:00,7.0,7.0,1.0,22.2,18.6,23.0,23.4
2021,Week 18,FINAL,SUN,01/09,Chargers,32.0,0.0,Raiders,35.0,1.0,0.0,0.0,0,9,8,10,7,2021-01-09 00:00:00,7.0,7.0,0.0,26.6,29.6,20.6,23.6
2021,Week 18,FINAL,SUN,01/09,Steelers,16.0,1.0,Ravens,13.0,0.0,0.0,0.0,0,9,7,8,9,2021-01-09 00:00:00,7.0,6.0,0.0,33.4,21.2,20.6,22.8
2021,Week 18,FINAL,SUN,01/09,Jets,10.0,0.0,Bills,27.0,1.0,0.0,0.0,0,4,13,11,6,2021-01-09 00:00:00,7.0,7.0,0.5,35.0,16.4,20.2,27.0
2021,Week 18,FINAL,SUN,01/09,Colts,11.0,0.0,Jaguars,26.0,1.0,0.0,0.0,0,9,8,3,14,2021-01-09 00:00:00,7.0,7.0,0.0,15.0,37.8,28.2,23.6
2021,Week 18,FINAL,SUN,01/09,Packers,30.0,0.0,Lions,37.0,1.0,0.0,0.0,0,13,4,3,13,2021-01-09 00:00:00,7.0,7.0,1.0,23.8,41.0,32.4,16.0
2021,Week 18,FINAL,SUN,01/09,Bears,17.0,0.0,Vikings,31.0,1.0,0.0,0.0,0,6,11,8,9,2021-01-09 00:00:00,7.0,7.0,1.0,22.2,34.4,33.8,17.6
2021,Week 18,FINAL,SUN,01/09,Titans,28.0,1.0,Texans,25.0,0.0,0.0,0.0,0,12,5,4,13,2021-01-09 00:00:00,7.0,7.0,0.5,17.0,29.8,32.0,23.8
2020,Wild Card,FINAL,SUN,01/10,Bears,9.0,0.0,Saints,21.0,1.0,7.0,2.0,1,8,8,12,4,2020-01-10 00:00:00,7.0,7.0,0.5,38.6,20.0,16.8,25.0
2020,Wild Card,FINAL,SUN,01/10,Browns,48.0,1.0,Steelers,37.0,0.0,6.0,3.0,1,11,5,12,4,2020-01-10 00:00:00,7.0,7.0,0.6666666666666666,15.0,20.4,22.6,28.6
2020,Wild Card,FINAL,SUN,01/10,Ravens,20.0,1.0,Titans,13.0,0.0,5.0,4.0,1,11,5,11,5,2020-01-10 00:00:00,7.0,7.0,0.5,33.4,27.0,32.6,13.2
2019,Divisional Playoffs,FINAL,SAT,01/11,Vikings,10.0,0.0,49ers,27.0,1.0,6.0,1.0,1,10,6,13,3,2019-01-11 00:00:00,12.0,6.0,0.5,20.6,28.4,22.2,18.2
